# See the documentation http://cosmologist.info/notes/CAMB.pdf
#   k/h (1/Mpc)    P_k (h^{-3} Mpc^3)
    0.11217E-01    0.28176E+05
    0.11443E-01    0.28314E+05
    0.11675E-01    0.28444E+05
    0.11910E-01    0.28566E+05
    0.12151E-01    0.28678E+05
    0.12397E-01    0.28782E+05
    0.12647E-01    0.28875E+05
    0.12902E-01    0.28957E+05
    0.13163E-01    0.29029E+05
    0.13429E-01    0.29090E+05
    0.13700E-01    0.29139E+05
    0.13977E-01    0.29176E+05
    0.14259E-01    0.29203E+05
    0.14547E-01    0.29219E+05
    0.14841E-01    0.29225E+05
    0.15141E-01    0.29221E+05
    0.15447E-01    0.29206E+05
    0.15759E-01    0.29183E+05
    0.16077E-01    0.29150E+05
    0.16402E-01    0.29109E+05
    0.16734E-01    0.29059E+05
    0.17072E-01    0.28998E+05
    0.17416E-01    0.28926E+05
    0.17768E-01    0.28841E+05
    0.18127E-01    0.28743E+05
    0.18493E-01    0.28629E+05
    0.18867E-01    0.28500E+05
    0.19248E-01    0.28353E+05
    0.19637E-01    0.28189E+05
    0.20034E-01    0.28005E+05
    0.20438E-01    0.27802E+05
    0.20851E-01    0.27581E+05
    0.21272E-01    0.27343E+05
    0.21702E-01    0.27089E+05
    0.22141E-01    0.26820E+05
    0.22588E-01    0.26537E+05
    0.23044E-01    0.26240E+05
    0.23510E-01    0.25932E+05
    0.23985E-01    0.25612E+05
    0.24469E-01    0.25283E+05
    0.24964E-01    0.24944E+05
    0.25468E-01    0.24598E+05
    0.25982E-01    0.24244E+05
    0.26507E-01    0.23885E+05
    0.27043E-01    0.23521E+05
    0.27589E-01    0.23153E+05
    0.28146E-01    0.22782E+05
    0.28715E-01    0.22408E+05
    0.29295E-01    0.22034E+05
    0.29887E-01    0.21659E+05
    0.30490E-01    0.21283E+05
    0.31106E-01    0.20908E+05
    0.31735E-01    0.20531E+05
    0.32376E-01    0.20155E+05
    0.33030E-01    0.19777E+05
    0.33697E-01    0.19398E+05
    0.34378E-01    0.19018E+05
    0.35072E-01    0.18637E+05
    0.35781E-01    0.18255E+05
    0.36504E-01    0.17872E+05
    0.37241E-01    0.17490E+05
    0.37993E-01    0.17110E+05
    0.38761E-01    0.16735E+05
    0.39544E-01    0.16369E+05
    0.40343E-01    0.16012E+05
    0.41158E-01    0.15667E+05
    0.41989E-01    0.15336E+05
    0.42838E-01    0.15021E+05
    0.43703E-01    0.14722E+05
    0.44586E-01    0.14441E+05
    0.45486E-01    0.14178E+05
    0.46405E-01    0.13932E+05
    0.47343E-01    0.13700E+05
    0.48299E-01    0.13481E+05
    0.49275E-01    0.13274E+05
    0.50270E-01    0.13077E+05
    0.51286E-01    0.12889E+05
    0.52322E-01    0.12708E+05
    0.53379E-01    0.12534E+05
    0.54457E-01    0.12366E+05
    0.55557E-01    0.12201E+05
    0.56680E-01    0.12038E+05
    0.57825E-01    0.11876E+05
    0.58993E-01    0.11712E+05
    0.60184E-01    0.11544E+05
    0.61400E-01    0.11373E+05
    0.62641E-01    0.11195E+05
    0.63906E-01    0.11010E+05
    0.65197E-01    0.10816E+05
    0.66514E-01    0.10613E+05
    0.67858E-01    0.10399E+05
    0.69229E-01    0.10175E+05
    0.70627E-01    0.99406E+04
    0.72054E-01    0.96955E+04
    0.73510E-01    0.94398E+04
    0.74994E-01    0.91740E+04
    0.76509E-01    0.88983E+04
    0.78055E-01    0.86133E+04
    0.79632E-01    0.83196E+04
    0.81241E-01    0.80179E+04
    0.82882E-01    0.77116E+04
    0.84556E-01    0.74065E+04
    0.86264E-01    0.71078E+04
    0.88007E-01    0.68202E+04
    0.89785E-01    0.65474E+04
    0.91598E-01    0.62926E+04
    0.93449E-01    0.60583E+04
    0.95337E-01    0.58466E+04
    0.97263E-01    0.56594E+04
    0.99227E-01    0.54982E+04
    0.10123E+00    0.53612E+04
    0.10328E+00    0.52431E+04
    0.10536E+00    0.51386E+04
    0.10749E+00    0.50432E+04
    0.10966E+00    0.49524E+04
    0.11188E+00    0.48624E+04
    0.11414E+00    0.47694E+04
    0.11644E+00    0.46699E+04
    0.11880E+00    0.45609E+04
    0.12120E+00    0.44397E+04
    0.12365E+00    0.43066E+04
    0.12614E+00    0.41651E+04
    0.12869E+00    0.40187E+04
    0.13129E+00    0.38705E+04
    0.13394E+00    0.37233E+04
    0.13665E+00    0.35795E+04
    0.13941E+00    0.34412E+04
    0.14223E+00    0.33102E+04
    0.14510E+00    0.31879E+04
    0.14803E+00    0.30755E+04
    0.15102E+00    0.29727E+04
    0.15407E+00    0.28777E+04
    0.15718E+00    0.27887E+04
    0.16036E+00    0.27043E+04
    0.16360E+00    0.26231E+04
    0.16690E+00    0.25438E+04
    0.17028E+00    0.24654E+04
    0.17371E+00    0.23869E+04
    0.17722E+00    0.23075E+04
    0.18080E+00    0.22265E+04
    0.18446E+00    0.21440E+04
    0.18818E+00    0.20613E+04
    0.19198E+00    0.19792E+04
    0.19586E+00    0.18986E+04
    0.19982E+00    0.18204E+04
    0.20386E+00    0.17451E+04
    0.20797E+00    0.16733E+04
    0.21218E+00    0.16054E+04
    0.21646E+00    0.15418E+04
    0.22083E+00    0.14826E+04
    0.22530E+00    0.14278E+04
    0.22985E+00    0.13766E+04
    0.23449E+00    0.13286E+04
    0.23923E+00    0.12831E+04
    0.24406E+00    0.12397E+04
    0.24899E+00    0.11980E+04
    0.25402E+00    0.11576E+04
    0.25915E+00    0.11182E+04
    0.26439E+00    0.10796E+04
    0.26973E+00    0.10414E+04
    0.27518E+00    0.10036E+04
    0.28074E+00    0.96634E+03
    0.28641E+00    0.92977E+03
    0.29219E+00    0.89398E+03
    0.29810E+00    0.85907E+03
    0.30412E+00    0.82513E+03
    0.31026E+00    0.79222E+03
    0.31653E+00    0.76040E+03
    0.32292E+00    0.72971E+03
    0.32945E+00    0.70019E+03
    0.33610E+00    0.67182E+03
    0.34289E+00    0.64457E+03
    0.34982E+00    0.61839E+03
    0.35689E+00    0.59325E+03
    0.36409E+00    0.56910E+03
    0.37145E+00    0.54591E+03
    0.37895E+00    0.52363E+03
    0.38661E+00    0.50224E+03
    0.39442E+00    0.48170E+03
    0.40239E+00    0.46198E+03
    0.41052E+00    0.44304E+03
    0.41881E+00    0.42485E+03
    0.42727E+00    0.40737E+03
    0.43590E+00    0.39058E+03
    0.44471E+00    0.37445E+03
    0.45369E+00    0.35894E+03
    0.46286E+00    0.34404E+03
    0.47221E+00    0.32971E+03
    0.48174E+00    0.31593E+03
    0.49148E+00    0.30269E+03
    0.50141E+00    0.28995E+03
    0.51153E+00    0.27772E+03
    0.52187E+00    0.26595E+03
    0.53241E+00    0.25466E+03
    0.54317E+00    0.24381E+03
    0.55414E+00    0.23340E+03
    0.56533E+00    0.22340E+03
    0.57675E+00    0.21381E+03
    0.58840E+00    0.20461E+03
    0.60029E+00    0.19579E+03
    0.61242E+00    0.18733E+03
    0.62479E+00    0.17922E+03
    0.63741E+00    0.17144E+03
    0.65029E+00    0.16399E+03
    0.66342E+00    0.15685E+03
    0.67683E+00    0.15000E+03
    0.69050E+00    0.14344E+03
    0.70445E+00    0.13715E+03
    0.71868E+00    0.13112E+03
    0.73320E+00    0.12535E+03
    0.74801E+00    0.11981E+03
    0.76312E+00    0.11451E+03
    0.77854E+00    0.10944E+03
    0.79426E+00    0.10458E+03
    0.81031E+00    0.99925E+02
    0.82668E+00    0.95469E+02
    0.84338E+00    0.91204E+02
    0.86041E+00    0.87121E+02
    0.87780E+00    0.83214E+02
    0.89553E+00    0.79476E+02
    0.91362E+00    0.75899E+02
    0.93208E+00    0.72477E+02
    0.95091E+00    0.69203E+02
    0.97011E+00    0.66072E+02
    0.98971E+00    0.63078E+02
    0.10097E+01    0.60214E+02
    0.10301E+01    0.57476E+02
    0.10509E+01    0.54857E+02
    0.10721E+01    0.52354E+02
    0.10938E+01    0.49961E+02
    0.11159E+01    0.47673E+02
    0.11384E+01    0.45487E+02
    0.11614E+01    0.43397E+02
    0.11849E+01    0.41401E+02
    0.12088E+01    0.39493E+02
    0.12333E+01    0.37670E+02
    0.12582E+01    0.35929E+02
    0.12836E+01    0.34265E+02
    0.13095E+01    0.32676E+02
    0.13360E+01    0.31159E+02
    0.13630E+01    0.29710E+02
    0.13905E+01    0.28326E+02
    0.14186E+01    0.27005E+02
    0.14472E+01    0.25743E+02
    0.14765E+01    0.24539E+02
    0.15063E+01    0.23390E+02
    0.15367E+01    0.22293E+02
    0.15678E+01    0.21246E+02
    0.15994E+01    0.20247E+02
